show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s126,Movie,The Rising Promise,,Leonardo DiCaprio,United Kingdom,"November 16, 2024",2020,TV-PG,153 min,Children & Family Movies,"An in-depth exploration of human emotions, secrets, and the choices that define us."
s127,Movie,The Dark Journey,,"Scarlett Johansson, Omar Sy, Pedro Pascal, Meryl Streep",United Kingdom,"May 23, 2024",2001,PG-13,177 min,"Docuseries, Thrillers",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s128,TV Show,The Wild Echo,,"Cillian Murphy, Viola Davis, Timothée Chalamet, Florence Pugh",Mexico,"July 16, 2020",1998,TV-Y,4 Seasons,"Romantic Movies, Documentaries","An in-depth exploration of human emotions, secrets, and the choices that define us."
s129,Movie,The Frozen Storm,,Leonardo DiCaprio,Italy,"July 25, 2022",2002,PG,148 min,"Crime TV Shows, International TV Shows, Reality TV","An in-depth exploration of human emotions, secrets, and the choices that define us."
s130,Movie,The Lost Horizon,Greta Gerwig,"Timothée Chalamet, Scarlett Johansson, Leonardo DiCaprio",Canada,"December 29, 2017",2011,NC-17,144 min,"TV Action & Adventure, Dramas, Sci-Fi & Fantasy",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s131,Movie,The Broken Echo,,,United Kingdom,"August 20, 2020",2009,R,151 min,"TV Comedies, Horror Movies","When an unexpected event turns their life upside down, an unlikely hero must step up."
s132,TV Show,The Rising Night,,"Margot Robbie, Gong Yoo, Lupita Nyong'o, Omar Sy",Italy,"June 13, 2022",2003,TV-14,6 Seasons,"Action & Adventure, Reality TV, Anime Series","A heartwarming story of friendship, love, and perseverance across generations."
s133,TV Show,The Golden Frontier,,"Marion Cotillard, Tom Hanks, Daniel Kaluuya, Omar Sy",France,"December 15, 2019",1997,TV-G,2 Seasons,"TV Action & Adventure, Docuseries, Action & Adventure","A heartwarming story of friendship, love, and perseverance across generations."
s134,Movie,The Dark Chronicles,Greta Gerwig,"Gong Yoo, Penélope Cruz, Daniel Kaluuya, Meryl Streep",Mexico,"February 10, 2023",1991,TV-14,102 min,Romantic Movies,"A heartwarming story of friendship, love, and perseverance across generations."
s135,Movie,The Velvet Valley,,,United States,"October 10, 2015",2020,PG-13,106 min,"Thrillers, International Movies","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s136,Movie,The Velvet Valley,James Cameron,"Song Kang-ho, Denzel Washington, Dev Patel",Germany,"August 24, 2024",2012,R,92 min,"Crime TV Shows, Reality TV, International Movies",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s137,TV Show,The Silent Empire,Pedro Almodóvar,"Gong Yoo, Omar Sy, Song Kang-ho, Scarlett Johansson",France,"February 11, 2017",1997,TV-MA,6 Seasons,"Dramas, Horror Movies","When an unexpected event turns their life upside down, an unlikely hero must step up."
s138,Movie,The Forgotten Echo,Pedro Almodóvar,"Dev Patel, Lupita Nyong'o, Meryl Streep, Scarlett Johansson",South Korea,"January 19, 2021",2003,PG-13,87 min,"Children & Family Movies, Horror Movies, TV Dramas","A heartwarming story of friendship, love, and perseverance across generations."
s139,Movie,The Shadow Legacy,Ridley Scott,Dev Patel,South Korea,"September 07, 2015",2001,TV-14,141 min,"Comedies, TV Comedies",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s140,Movie,The Fallen Whisper,,"Gong Yoo, Shah Rukh Khan, Florence Pugh",Italy,"September 14, 2017",2004,NC-17,179 min,"International Movies, Anime Series, Comedies","A heartwarming story of friendship, love, and perseverance across generations."
s141,Movie,The Velvet Mirage,Anurag Kashyap,Song Kang-ho,Canada,"November 20, 2015",2018,TV-MA,81 min,"Romantic Movies, Comedies, Sci-Fi & Fantasy","In a race against time, a dedicated team unravels a mystery that threatens everything."
s142,Movie,The Forgotten Echo,Martin Scorsese,Zendaya,Mexico,"May 17, 2020",2003,TV-MA,108 min,Romantic Movies,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s143,TV Show,The Lost Protocol,,"Lupita Nyong'o, Tom Hanks, Song Kang-ho, Scarlett Johansson",Italy,"March 24, 2020",2024,TV-G,3 Seasons,"Sci-Fi & Fantasy, TV Comedies","A heartwarming story of friendship, love, and perseverance across generations."
s144,TV Show,The Frozen Promise,Sion Sono,"Tom Hanks, Margot Robbie",United States,"June 25, 2017",1999,TV-MA,3 Seasons,"TV Action & Adventure, International TV Shows, Children & Family Movies","When an unexpected event turns their life upside down, an unlikely hero must step up."
s145,Movie,The Broken Dream,Yorgos Lanthimos,Javier Bardem,Mexico,"July 24, 2023",2021,TV-PG,128 min,TV Comedies,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s146,Movie,The Sacred Protocol,Denis Villeneuve,"Ana de Armas, Meryl Streep, Marion Cotillard, Denzel Washington",Mexico,"January 27, 2015",2016,PG,177 min,"Horror Movies, Action & Adventure, International Movies",A compelling narrative following characters as they navigate challenges in a changing world.
s147,Movie,The Frozen Valley,Steven Spielberg,"Ana de Armas, Dev Patel, Cillian Murphy, Javier Bardem",United States,,2016,PG-13,72 min,"Sci-Fi & Fantasy, Romantic TV Shows, Children & Family Movies",A compelling narrative following characters as they navigate challenges in a changing world.
s148,Movie,The Velvet Horizon,Quentin Tarantino,,Canada,"November 26, 2020",2006,TV-MA,104 min,"Action & Adventure, TV Comedies","In a race against time, a dedicated team unravels a mystery that threatens everything."
s149,Movie,The Broken Legacy,Ridley Scott,,Mexico,"January 18, 2016",2015,TV-14,118 min,"Docuseries, Comedies, Dramas",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s150,Movie,The Rising Shadow,,"Daniel Kaluuya, Viola Davis",United States,"September 25, 2024",2020,NC-17,75 min,Sci-Fi & Fantasy,"A heartwarming story of friendship, love, and perseverance across generations."
s151,Movie,The Dark Horizon,Ava DuVernay,,Australia,"March 15, 2024",2015,R,108 min,TV Action & Adventure,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s152,Movie,The Midnight Mirage,Ava DuVernay,"Zendaya, Pedro Pascal, Shah Rukh Khan",Brazil,"August 13, 2020",2012,PG-13,82 min,"Horror Movies, Action & Adventure","An in-depth exploration of human emotions, secrets, and the choices that define us."
s153,Movie,The Forgotten Symphony,James Cameron,"Leonardo DiCaprio, Ana de Armas",Spain,"December 28, 2018",2014,TV-14,93 min,"TV Action & Adventure, Crime TV Shows, Action & Adventure","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s154,Movie,The Broken Journey,Martin Scorsese,"Shah Rukh Khan, Song Kang-ho",Mexico,"May 15, 2019",2010,TV-MA,83 min,Dramas,"An in-depth exploration of human emotions, secrets, and the choices that define us."
s155,Movie,The Endless Promise,Greta Gerwig,,Spain,"September 29, 2020",2016,R,73 min,TV Comedies,"A heartwarming story of friendship, love, and perseverance across generations."
s156,Movie,The Forgotten Whisper,James Cameron,,South Korea,"February 16, 2023",2005,PG,157 min,"Thrillers, International Movies","An in-depth exploration of human emotions, secrets, and the choices that define us."
s157,Movie,The Rising Night,Martin Scorsese,Gong Yoo,Japan,"November 12, 2015",2013,NC-17,101 min,"Docuseries, Romantic Movies, Anime Series",A compelling narrative following characters as they navigate challenges in a changing world.
s158,Movie,The Silent Dream,Ava DuVernay,"Song Kang-ho, Timothée Chalamet, Penélope Cruz, Gong Yoo",Mexico,"July 11, 2016",2009,TV-MA,147 min,"Romantic Movies, Docuseries, TV Dramas","When an unexpected event turns their life upside down, an unlikely hero must step up."
s159,TV Show,The Shadow Truth,,"Daniel Kaluuya, Scarlett Johansson, Timothée Chalamet",Italy,"April 11, 2016",2002,TV-Y,5 Seasons,Romantic TV Shows,A compelling narrative following characters as they navigate challenges in a changing world.
s160,TV Show,The Frozen Heart,,"Lupita Nyong'o, Denzel Washington",Italy,"July 19, 2022",2021,TV-14,6 Seasons,"Horror Movies, Sci-Fi & Fantasy",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s161,Movie,The Velvet Dream,Martin Scorsese,"Cillian Murphy, Javier Bardem, Daniel Kaluuya",Germany,"October 02, 2024",2016,PG-13,171 min,"Romantic TV Shows, Action & Adventure",A compelling narrative following characters as they navigate challenges in a changing world.
s162,TV Show,The Crimson Horizon,Steven Spielberg,"Ana de Armas, Dev Patel, Song Kang-ho, Zendaya",Italy,"February 13, 2015",1996,TV-PG,2 Seasons,"Reality TV, Romantic TV Shows, Horror Movies","In a race against time, a dedicated team unravels a mystery that threatens everything."
s163,Movie,The Frozen Frontier,,"Shah Rukh Khan, Margot Robbie, Leonardo DiCaprio, Javier Bardem",South Korea,"December 18, 2015",1997,PG,114 min,"TV Dramas, Anime Series","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s164,Movie,The Rising Valley,Sion Sono,,Brazil,"October 03, 2015",2009,PG-13,173 min,"Documentaries, Dramas, TV Dramas",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s165,Movie,The Eternal Legacy,Anurag Kashyap,Omar Sy,Germany,"March 07, 2020",2004,TV-14,150 min,Thrillers,Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s166,Movie,The Midnight Empire,Taika Waititi,Penélope Cruz,South Korea,,2003,G,105 min,"Action & Adventure, Documentaries, Thrillers","An in-depth exploration of human emotions, secrets, and the choices that define us."
s167,Movie,The Frozen Promise,Spike Lee,"Marion Cotillard, Ana de Armas, Timothée Chalamet",Australia,"April 12, 2016",2012,TV-MA,178 min,"Thrillers, Children & Family Movies","A heartwarming story of friendship, love, and perseverance across generations."
s168,Movie,The Hidden Whisper,Quentin Tarantino,Florence Pugh,France,"September 23, 2020",2014,TV-14,146 min,TV Action & Adventure,"In a race against time, a dedicated team unravels a mystery that threatens everything."
s169,Movie,The Rising Mirage,,Omar Sy,Japan,"July 12, 2018",2018,PG-13,180 min,"Dramas, Docuseries","When an unexpected event turns their life upside down, an unlikely hero must step up."
s170,Movie,The Midnight Mirage,Anurag Kashyap,"Gong Yoo, Dev Patel, Javier Bardem",Spain,"December 05, 2015",1991,G,107 min,Sci-Fi & Fantasy,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s171,Movie,The Eternal Chronicles,Yorgos Lanthimos,"Omar Sy, Marion Cotillard, Viola Davis",Japan,"March 26, 2024",2013,PG-13,167 min,"Anime Series, Romantic TV Shows, Romantic Movies","In a race against time, a dedicated team unravels a mystery that threatens everything."
s172,Movie,The Broken Truth,Steven Spielberg,"Mahershala Ali, Margot Robbie, Denzel Washington",India,"August 28, 2017",2003,TV-MA,180 min,"International TV Shows, Thrillers, International Movies","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s173,Movie,The Secret Echo,Yorgos Lanthimos,"Omar Sy, Mahershala Ali",United Kingdom,"November 23, 2022",2008,NC-17,143 min,"Reality TV, Documentaries","When an unexpected event turns their life upside down, an unlikely hero must step up."
s174,TV Show,The Velvet Echo,,Lupita Nyong'o,Canada,"August 12, 2018",2005,TV-G,4 Seasons,"International Movies, Sci-Fi & Fantasy",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s175,Movie,The Frozen Journey,,,Brazil,"November 02, 2024",2013,TV-PG,132 min,"TV Action & Adventure, Dramas","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s176,TV Show,The Golden Chronicles,,"Denzel Washington, Omar Sy",South Korea,"July 19, 2020",2007,TV-PG,3 Seasons,"Romantic TV Shows, International Movies","A heartwarming story of friendship, love, and perseverance across generations."
s177,TV Show,The Shadow Echo,,"Leonardo DiCaprio, Viola Davis, Priyanka Chopra",United States,"October 19, 2019",2002,TV-G,2 Seasons,"Children & Family Movies, Thrillers, Sci-Fi & Fantasy",A compelling narrative following characters as they navigate challenges in a changing world.
s178,Movie,The Endless Journey,David Fincher,Meryl Streep,Japan,"June 21, 2023",2004,TV-14,153 min,Documentaries,A compelling narrative following characters as they navigate challenges in a changing world.
s179,Movie,The Golden Night,Yorgos Lanthimos,Marion Cotillard,United States,,2011,R,180 min,"International Movies, Docuseries",A compelling narrative following characters as they navigate challenges in a changing world.
s180,Movie,The Golden Promise,Quentin Tarantino,"Margot Robbie, Florence Pugh",Italy,"October 21, 2024",1998,PG,78 min,"TV Action & Adventure, Dramas, Thrillers","In a race against time, a dedicated team unravels a mystery that threatens everything."
s181,Movie,The Secret Night,Alfonso Cuarón,"Dev Patel, Penélope Cruz, Tom Hanks, Denzel Washington",United Kingdom,"August 11, 2021",2014,TV-MA,124 min,"International Movies, Horror Movies","An in-depth exploration of human emotions, secrets, and the choices that define us."
s182,Movie,The Broken Mirage,Taika Waititi,"Pedro Pascal, Cillian Murphy, Florence Pugh, Zendaya",United States,"May 20, 2022",2009,G,136 min,"Reality TV, Romantic Movies, Crime TV Shows","An in-depth exploration of human emotions, secrets, and the choices that define us."
s183,Movie,The Broken Protocol,James Cameron,,Mexico,"December 03, 2020",1990,TV-MA,110 min,Crime TV Shows,"A humorous and insightful look into modern relationships, career ambitions, and daily life."
s184,TV Show,The Velvet Valley,,Zendaya,Italy,"August 02, 2021",1994,TV-MA,3 Seasons,Comedies,A compelling narrative following characters as they navigate challenges in a changing world.
s185,TV Show,The Midnight Kingdom,,"Zendaya, Gong Yoo, Lupita Nyong'o, Song Kang-ho",Germany,"September 17, 2016",2007,TV-MA,3 Seasons,Reality TV,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s186,TV Show,The Hidden Mirage,,"Ana de Armas, Zendaya, Dev Patel, Denzel Washington",South Korea,"June 29, 2024",2005,TV-MA,2 Seasons,International TV Shows,A compelling narrative following characters as they navigate challenges in a changing world.
s187,Movie,The Forgotten Echo,Ridley Scott,Viola Davis,,"February 16, 2015",2000,TV-PG,114 min,"Reality TV, Sci-Fi & Fantasy, Thrillers","An in-depth exploration of human emotions, secrets, and the choices that define us."
s188,Movie,The Endless Promise,Christopher Nolan,"Gong Yoo, Mahershala Ali",Japan,"June 19, 2021",1994,TV-PG,128 min,"TV Comedies, Comedies, Docuseries","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s189,Movie,The Crimson Horizon,Spike Lee,,Mexico,"July 24, 2017",2022,PG-13,75 min,Horror Movies,A compelling narrative following characters as they navigate challenges in a changing world.
s190,Movie,The Midnight Night,Denis Villeneuve,,Brazil,"September 14, 2019",2004,TV-MA,101 min,"TV Dramas, Sci-Fi & Fantasy","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s191,Movie,The Crimson Promise,Anurag Kashyap,,Italy,"July 08, 2015",2015,R,129 min,"Children & Family Movies, TV Dramas",A compelling narrative following characters as they navigate challenges in a changing world.
s192,Movie,The Silent Valley,Bong Joon-ho,"Daniel Kaluuya, Florence Pugh",Canada,"August 20, 2021",2021,G,163 min,"Horror Movies, International Movies, Dramas","In a race against time, a dedicated team unravels a mystery that threatens everything."
s193,Movie,The Sacred Valley,,,United States,"March 22, 2019",2009,R,96 min,"Horror Movies, International TV Shows, Docuseries",A compelling narrative following characters as they navigate challenges in a changing world.
s194,TV Show,The Hidden Storm,,Marion Cotillard,France,"May 22, 2023",1995,TV-Y,1 Season,"International Movies, Crime TV Shows, Action & Adventure","A heartwarming story of friendship, love, and perseverance across generations."
s195,Movie,The Velvet Night,Guillermo del Toro,"Mahershala Ali, Timothée Chalamet",South Korea,"April 01, 2023",2010,TV-MA,127 min,"Horror Movies, Action & Adventure","When an unexpected event turns their life upside down, an unlikely hero must step up."
s196,Movie,The Infinite Promise,Greta Gerwig,,Spain,"May 09, 2016",2024,TV-MA,168 min,Anime Series,"An in-depth exploration of human emotions, secrets, and the choices that define us."
s197,Movie,The Lost Journey,Denis Villeneuve,"Lupita Nyong'o, Cillian Murphy",,"September 04, 2018",1999,R,161 min,TV Comedies,"In a race against time, a dedicated team unravels a mystery that threatens everything."
s198,Movie,The Wild Storm,Denis Villeneuve,,Spain,"March 03, 2021",2005,R,129 min,International Movies,A compelling narrative following characters as they navigate challenges in a changing world.
s199,Movie,The Broken Night,Bong Joon-ho,"Margot Robbie, Dev Patel, Ana de Armas",India,"November 26, 2017",1994,PG-13,78 min,Anime Series,"A humorous and insightful look into modern relationships, career ambitions, and daily life."
s200,Movie,The Shadow Promise,Steven Spielberg,"Meryl Streep, Priyanka Chopra, Daniel Kaluuya",Brazil,"May 01, 2015",2014,TV-14,92 min,"Romantic Movies, Thrillers","An in-depth exploration of human emotions, secrets, and the choices that define us."
s201,Movie,The Hidden Echo,Taika Waititi,"Cillian Murphy, Scarlett Johansson, Ana de Armas, Florence Pugh",Germany,"December 26, 2015",2007,TV-14,87 min,"Romantic Movies, Reality TV","When an unexpected event turns their life upside down, an unlikely hero must step up."
s202,Movie,The Sacred Empire,James Cameron,"Javier Bardem, Omar Sy",France,"August 19, 2020",2010,TV-14,104 min,Dramas,"An in-depth exploration of human emotions, secrets, and the choices that define us."
s203,Movie,The Silent Storm,Steven Spielberg,"Marion Cotillard, Margot Robbie, Zendaya",Canada,"February 15, 2016",2005,G,104 min,"Comedies, Horror Movies, Crime TV Shows","An in-depth exploration of human emotions, secrets, and the choices that define us."
s204,TV Show,The Eternal Horizon,,"Pedro Pascal, Lupita Nyong'o",Australia,"November 09, 2022",2012,TV-Y,5 Seasons,TV Action & Adventure,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s205,TV Show,The Rising Mirage,,"Meryl Streep, Denzel Washington, Scarlett Johansson",United States,"January 03, 2015",2011,TV-Y,2 Seasons,TV Dramas,Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s206,Movie,The Shadow Echo,Christopher Nolan,Daniel Kaluuya,United Kingdom,"June 29, 2024",2023,TV-MA,79 min,"Crime TV Shows, Documentaries","An in-depth exploration of human emotions, secrets, and the choices that define us."
s207,Movie,The Hidden Horizon,Alfonso Cuarón,"Ana de Armas, Timothée Chalamet, Priyanka Chopra",Germany,"November 18, 2021",2012,G,155 min,"Thrillers, Crime TV Shows, Children & Family Movies",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s208,TV Show,The Hidden Horizon,,"Song Kang-ho, Zendaya, Daniel Kaluuya, Meryl Streep",France,"November 09, 2021",2004,TV-G,5 Seasons,Docuseries,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s209,Movie,The Golden Legacy,David Fincher,"Priyanka Chopra, Ana de Armas",India,"July 07, 2022",2011,TV-PG,71 min,"Romantic Movies, Horror Movies",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s210,Movie,The Endless Promise,Christopher Nolan,,Brazil,"November 12, 2016",2016,TV-PG,118 min,"Romantic TV Shows, Crime TV Shows",A compelling narrative following characters as they navigate challenges in a changing world.
s211,TV Show,The Infinite Legacy,,,United States,"July 29, 2018",2006,TV-MA,1 Season,"Thrillers, Crime TV Shows","When an unexpected event turns their life upside down, an unlikely hero must step up."
s212,TV Show,The Sacred Journey,,"Javier Bardem, Lupita Nyong'o, Leonardo DiCaprio, Gong Yoo",United Kingdom,"November 14, 2019",2000,TV-MA,1 Season,"Romantic Movies, TV Action & Adventure","In a race against time, a dedicated team unravels a mystery that threatens everything."
s213,TV Show,The Sacred Storm,Ridley Scott,Viola Davis,,"June 02, 2024",2021,TV-14,1 Season,"Dramas, International TV Shows",A compelling narrative following characters as they navigate challenges in a changing world.
s214,Movie,The Forgotten Protocol,Bong Joon-ho,,,"April 10, 2018",1995,TV-PG,178 min,Children & Family Movies,"A humorous and insightful look into modern relationships, career ambitions, and daily life."
s215,Movie,The Rising Storm,Martin Scorsese,"Song Kang-ho, Priyanka Chopra, Margot Robbie, Penélope Cruz",,"December 14, 2017",2004,NC-17,142 min,International Movies,"A humorous and insightful look into modern relationships, career ambitions, and daily life."
s216,TV Show,The Lost Journey,Takashi Miike,"Zendaya, Daniel Kaluuya, Scarlett Johansson",South Korea,"September 11, 2019",2024,TV-G,4 Seasons,"Horror Movies, Docuseries, Children & Family Movies",A compelling narrative following characters as they navigate challenges in a changing world.
s217,Movie,The Dark Kingdom,Yorgos Lanthimos,"Daniel Kaluuya, Dev Patel, Cillian Murphy, Shah Rukh Khan",Italy,"November 15, 2016",2003,G,86 min,International TV Shows,A compelling narrative following characters as they navigate challenges in a changing world.
s218,TV Show,The Velvet Heart,,Cillian Murphy,Brazil,"October 02, 2015",1995,TV-Y7,5 Seasons,"Romantic TV Shows, TV Dramas","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s219,Movie,The Frozen Empire,,"Daniel Kaluuya, Marion Cotillard, Gong Yoo, Viola Davis",United Kingdom,"July 14, 2021",1996,R,142 min,Children & Family Movies,"A humorous and insightful look into modern relationships, career ambitions, and daily life."
s220,Movie,The Crimson Shadow,Spike Lee,"Ana de Armas, Javier Bardem, Daniel Kaluuya",United States,"July 09, 2019",1999,TV-14,74 min,"TV Dramas, Horror Movies",A compelling narrative following characters as they navigate challenges in a changing world.
s221,TV Show,The Endless Valley,,"Florence Pugh, Mahershala Ali",Brazil,"September 29, 2024",2004,TV-14,3 Seasons,"Anime Series, TV Dramas, Sci-Fi & Fantasy",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s222,Movie,The Golden Heart,Pedro Almodóvar,Gong Yoo,Italy,"March 12, 2019",1993,PG,78 min,"Reality TV, Crime TV Shows","When an unexpected event turns their life upside down, an unlikely hero must step up."
s223,TV Show,The Fallen Frontier,,Tom Hanks,Canada,"July 27, 2015",2013,TV-G,2 Seasons,"TV Comedies, Anime Series","A heartwarming story of friendship, love, and perseverance across generations."
s224,Movie,The Lost Empire,Guillermo del Toro,"Javier Bardem, Cillian Murphy",Spain,"December 03, 2018",2012,PG,177 min,"Action & Adventure, Children & Family Movies",A compelling narrative following characters as they navigate challenges in a changing world.
s225,Movie,The Eternal Frontier,Bong Joon-ho,Ana de Armas,Canada,"August 05, 2019",2022,PG-13,180 min,"Dramas, Docuseries, International Movies",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s226,Movie,The Silent Legacy,Spike Lee,"Florence Pugh, Lupita Nyong'o, Ana de Armas, Mahershala Ali",South Korea,"February 24, 2020",2006,G,129 min,"Reality TV, Crime TV Shows","A heartwarming story of friendship, love, and perseverance across generations."
s227,Movie,The Fallen Valley,Takashi Miike,"Cillian Murphy, Florence Pugh, Dev Patel, Viola Davis",France,"March 08, 2022",2010,NC-17,103 min,"Children & Family Movies, Romantic Movies, International Movies","A heartwarming story of friendship, love, and perseverance across generations."
s228,TV Show,The Dark Symphony,,"Dev Patel, Shah Rukh Khan",Mexico,"April 25, 2018",2006,TV-Y7,4 Seasons,"Comedies, Romantic Movies","An in-depth exploration of human emotions, secrets, and the choices that define us."
s229,TV Show,The Broken Mirage,Sion Sono,"Marion Cotillard, Florence Pugh",Mexico,"January 11, 2017",2008,TV-MA,4 Seasons,Sci-Fi & Fantasy,Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s230,TV Show,The Eternal Whisper,Guillermo del Toro,"Scarlett Johansson, Pedro Pascal",South Korea,"September 19, 2018",2013,TV-PG,5 Seasons,"Anime Series, Documentaries","In a race against time, a dedicated team unravels a mystery that threatens everything."
s231,Movie,The Infinite Frontier,Taika Waititi,,Canada,"September 23, 2024",2014,NC-17,122 min,International Movies,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s232,TV Show,The Shadow Shadow,Pedro Almodóvar,Timothée Chalamet,United Kingdom,"June 20, 2020",2011,TV-G,2 Seasons,"Comedies, Dramas","In a race against time, a dedicated team unravels a mystery that threatens everything."
s233,Movie,The Eternal Frontier,Denis Villeneuve,"Zendaya, Denzel Washington, Shah Rukh Khan",Mexico,"October 24, 2019",2020,TV-14,70 min,Romantic TV Shows,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s234,TV Show,The Silent Whisper,Anurag Kashyap,Leonardo DiCaprio,Mexico,"July 15, 2017",2012,TV-PG,2 Seasons,Crime TV Shows,"A heartwarming story of friendship, love, and perseverance across generations."
s235,Movie,The Eternal Journey,Steven Spielberg,"Florence Pugh, Penélope Cruz",Australia,"November 12, 2019",1998,TV-MA,132 min,"Romantic Movies, Thrillers","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s236,Movie,The Broken Legacy,Greta Gerwig,Pedro Pascal,,"May 19, 2016",2013,PG-13,118 min,"Sci-Fi & Fantasy, Romantic TV Shows, Comedies","A heartwarming story of friendship, love, and perseverance across generations."
s237,TV Show,The Lost Empire,,,South Korea,"November 01, 2017",2020,TV-G,2 Seasons,Dramas,"An in-depth exploration of human emotions, secrets, and the choices that define us."
s238,Movie,The Lost Kingdom,Spike Lee,"Cillian Murphy, Lupita Nyong'o, Shah Rukh Khan, Gong Yoo",India,"December 05, 2021",1997,NC-17,84 min,Docuseries,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s239,Movie,The Endless Kingdom,Bong Joon-ho,"Lupita Nyong'o, Gong Yoo",United States,"April 30, 2017",2020,TV-MA,100 min,Dramas,Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s240,Movie,The Lost Frontier,,"Shah Rukh Khan, Denzel Washington, Zendaya",Brazil,"November 14, 2017",2004,TV-PG,107 min,"Anime Series, Comedies",A compelling narrative following characters as they navigate challenges in a changing world.
s241,TV Show,The Dark Truth,,"Gong Yoo, Pedro Pascal",Italy,"February 09, 2015",1998,TV-G,6 Seasons,TV Dramas,"An in-depth exploration of human emotions, secrets, and the choices that define us."
s242,TV Show,The Forgotten Storm,Martin Scorsese,"Timothée Chalamet, Priyanka Chopra",South Korea,"January 18, 2018",2014,TV-G,4 Seasons,"Thrillers, Documentaries","When an unexpected event turns their life upside down, an unlikely hero must step up."
s243,TV Show,The Dark Horizon,,"Javier Bardem, Daniel Kaluuya, Dev Patel, Penélope Cruz",South Korea,"November 09, 2021",1991,TV-G,6 Seasons,Docuseries,"In a race against time, a dedicated team unravels a mystery that threatens everything."
s244,Movie,The Velvet Chronicles,Steven Spielberg,,France,,2023,G,155 min,"Reality TV, TV Action & Adventure",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s245,TV Show,The Lost Shadow,Guillermo del Toro,"Margot Robbie, Dev Patel, Ana de Armas",Germany,"November 15, 2021",1993,TV-MA,6 Seasons,Reality TV,"A humorous and insightful look into modern relationships, career ambitions, and daily life."
s246,Movie,The Rising Horizon,Martin Scorsese,"Timothée Chalamet, Scarlett Johansson, Mahershala Ali",Canada,"March 31, 2019",2015,G,80 min,"Anime Series, TV Action & Adventure",A compelling narrative following characters as they navigate challenges in a changing world.
s247,TV Show,The Frozen Whisper,,"Pedro Pascal, Ana de Armas, Leonardo DiCaprio",South Korea,"February 27, 2021",1990,TV-MA,5 Seasons,"Children & Family Movies, Reality TV, Romantic Movies",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s248,Movie,The Shadow Valley,Steven Spielberg,Penélope Cruz,Italy,"April 21, 2020",2013,TV-PG,84 min,Horror Movies,A compelling narrative following characters as they navigate challenges in a changing world.
s249,Movie,The Wild Mirage,Anurag Kashyap,"Lupita Nyong'o, Viola Davis",,"July 29, 2016",2016,R,102 min,"Romantic Movies, TV Action & Adventure, Documentaries","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s250,Movie,The Frozen Heart,,"Viola Davis, Zendaya",Mexico,"August 08, 2021",1997,TV-PG,128 min,"TV Action & Adventure, Reality TV, International Movies","In a race against time, a dedicated team unravels a mystery that threatens everything."
s251,Movie,The Dark Mirage,Alfonso Cuarón,"Javier Bardem, Marion Cotillard, Zendaya, Priyanka Chopra",United Kingdom,"June 09, 2016",1996,TV-14,154 min,"TV Dramas, Reality TV, Crime TV Shows","In a race against time, a dedicated team unravels a mystery that threatens everything."
s252,TV Show,The Broken Storm,,"Florence Pugh, Penélope Cruz",United Kingdom,"November 07, 2022",2022,TV-PG,6 Seasons,"TV Dramas, Romantic TV Shows, Romantic Movies","When an unexpected event turns their life upside down, an unlikely hero must step up."
